Year,Quarter,Period of coverage,Person level weight used,Breakdown,Level,Employment rate of people with long-term conditions,Employment rate of population ,Indicator value,Long-term condition numerator,Long-term condition denominator,Population numerator,Population denominator
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Sefton,54.9,72.2,17.4,32300,58800,124800,172800
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Sheffield,56.3,68.2,12,66100,117500,238000,348900
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Shropshire,73.4,81,7.6,42600,58000,147400,182000
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Slough,49.4,73.2,23.8,14000,28200,67600,92300
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Solihull,66.9,79.2,12.3,24100,36100,103100,130300
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Somerset,56.6,75.6,19,52500,92800,236800,313200
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,South Gloucestershire UA,61.7,73.9,12.2,34400,55800,122300,165600
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,South Tyneside,41.3,64.6,23.3,14700,35500,61600,95300
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Southampton,57.8,70,12.2,24800,43000,120600,172300
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Southend-on-Sea UA,59.5,75.3,15.9,26200,44000,93100,123600
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Southwark,58.9,75.3,16.4,26400,44800,172300,228800
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,St. Helens,41.3,67.3,26,18100,43700,69600,103500
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Staffordshire,71.7,80.6,8.8,114300,159400,430300,534100
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Stockport,70.7,81.4,10.6,40600,57400,149400,183600
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Stockton-on-Tees UA,46.1,67.9,21.8,18200,39500,80000,117800
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Stoke-on-Trent UA,53,69.1,16.1,33200,62500,112000,162100
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Suffolk,66.6,78.9,12.3,95100,142800,369800,468600
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Sunderland,42.9,64.1,21.3,23500,54800,110900,172800
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Surrey,70.4,79,8.6,135000,191800,585400,741200
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Sutton,77.9,81.7,3.7,22700,29100,113200,138600
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Swindon UA,77.5,83.4,5.9,33600,43300,115500,138600
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Tameside,57,66.8,9.8,31700,55600,96800,145000
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Telford and Wrekin UA,75.6,80.2,4.6,22500,29700,86300,107500
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Thurrock UA,58.1,72.8,14.7,16400,28300,69200,95100
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Torbay UA,64.3,78.9,14.6,16100,25000,62600,79300
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Tower Hamlets,45.1,63.8,18.8,22000,48900,151700,237600
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Trafford,72.5,76.6,4.2,33200,45800,115400,150600
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Wakefield,58.5,74.6,16.1,46400,79400,163800,219400
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Walsall,59.3,73.3,14,35500,59800,132000,180000
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Waltham Forest,52.1,73.6,21.5,18900,36300,141800,192800
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Wandsworth,62.8,77.3,14.5,21400,34100,174200,225400
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Warrington UA,73.7,82.6,8.9,24200,32900,119800,145100
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Warwickshire,63.8,75.7,11.9,63700,100000,262800,347200
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,West Berkshire,78.5,83.7,5.2,19300,24500,87100,104000
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,West Sussex,68.5,81.2,12.7,103100,150400,392000,482500
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Westminster,47.8,70.5,22.7,15800,33100,132800,188500
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Wigan,63.8,73.4,9.6,51600,80900,154200,210100
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Wiltshire,74.1,83.4,9.2,60200,81200,254300,305000
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Windsor and Maidenhead,81,80.8,-0.3,17700,21900,87300,108000
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Wirral,60.4,76.7,16.3,35600,59000,144000,187800
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Wokingham,88.1,89.3,1.2,13800,15700,88100,98700
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Wolverhampton,61.4,68.1,6.7,25100,40900,101600,149200
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Worcestershire,56.4,73.9,17.5,50900,90300,261000,353200
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,York UA,66.2,80.1,14,21100,31900,102700,128200
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Barking and Dagenham,54.9,67.4,12.5,16300,29700,86600,128600
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Barnet,58.3,71,12.8,38500,66000,164300,231300
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Barnsley,64.1,76.8,12.7,34800,54300,109600,142700
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Bath and North East Somerset UA,70,78,8,25500,36400,93100,119400
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Bedfordshire,64.9,80.9,15.9,45900,70700,236500,292500
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Bexley,69.9,79.7,9.8,28100,40100,125800,157800
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Birmingham,53,65.9,12.8,99500,187500,467700,710000
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Blackburn with Darwen UA,45,65,20,12900,28700,60800,93500
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Blackpool UA,56.8,73.2,16.4,17400,30700,62500,85300
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Bolton,52.7,71.6,18.9,37500,71100,133600,186600
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Bournemouth UA,71.1,75.3,4.2,24400,34200,84100,111600
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Bracknell Forest UA,69.3,77.7,8.4,15300,22000,62100,80000
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Bradford,50.3,66.8,16.5,51100,101600,224400,335900
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Brent,56.7,68.3,11.6,29900,52800,151900,222400
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Brighton and Hove,55.8,72.3,16.5,33700,60500,144200,199500
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Bromley,61.7,77.8,16.1,28500,46200,153500,197200
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Buckinghamshire,69.6,80.6,11,59800,86000,263600,327200
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Bury,64.4,73.7,9.3,25900,40200,80300,109000
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Calderdale,57,74,17,20300,35700,95800,129400
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Cambridgeshire,66.1,79.5,13.5,77400,117200,321400,404000
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Camden,69,79.6,10.6,35500,51500,135100,169700
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Cheshire,60.1,76.3,16.2,75100,125000,332800,436100
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,City of Bristol UA,66.8,78.1,11.3,63600,95200,230000,294400
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,City of Kingston upon Hull UA,62.4,72,9.7,35200,56500,118200,164000
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Cornwall and the Isles of Scilly,63.6,79.4,15.8,69700,109600,272300,343100
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,County of Herefordshire UA,69.9,81.1,11.2,17700,25300,90800,112000
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Coventry,64.4,69.8,5.5,37900,58800,158400,226800
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Croydon,68.3,80,11.7,48700,71300,195800,244900
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Cumbria,62.5,76.9,14.4,56600,90600,224600,292000
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Darlington UA,69.1,77.1,8,16000,23100,45100,58500
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Derby UA,70.3,82.8,12.4,36500,51800,134300,162300
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Derbyshire,67.8,78.7,10.9,105200,155200,371500,472100
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Devon,64.6,76.9,12.3,101000,156300,359700,468000
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Doncaster,64.6,75.8,11.2,35600,55000,146300,193100
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Dorset,67.6,76.3,8.6,53500,79200,183100,240100
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Dudley,52,70.3,18.3,32500,62600,135100,192200
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Durham,52.5,72.7,20.2,61500,117100,233700,321500
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Ealing,67,76.3,9.3,50200,74900,177600,232700
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,East Riding of Yorkshire UA,64.9,75.5,10.6,42200,65100,150100,198900
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,East Sussex,59.9,75.4,15.5,58300,97300,231600,307300
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Enfield,70.6,78.2,7.6,46800,66300,161000,205800
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Essex,67.2,77.1,9.9,169400,252000,680000,882200
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Gateshead,57,74.4,17.4,23400,41000,100800,135500
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Gloucestershire,70.5,79.9,9.3,80200,113600,297700,372800
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Greenwich,50.4,71.8,21.5,23200,46100,138200,192400
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Hackney,52.8,69,16.2,26200,49500,136900,198300
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Halton UA,60.3,72.6,12.2,14400,23800,61500,84800
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Hammersmith and Fulham,50.6,77.8,27.2,11800,23400,91000,117000
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Hampshire,67.8,79.8,12,150400,221900,663500,831500
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Haringey,51.8,62.5,10.7,25600,49500,110500,176800
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Harrow,70.8,74,3.2,29200,41200,117300,158600
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Hartlepool UA,49.4,62.4,13,8600,17400,37900,60800
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Havering,65,79.4,14.3,37200,57200,123000,155000
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Hertfordshire,68.7,78.2,9.4,129000,187600,560300,716700
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Hillingdon,53.6,75.1,21.5,28900,53900,154300,205500
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Hounslow,66.4,72.3,5.9,39400,59400,134700,186500
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Isle of Wight,70.6,77.9,7.3,19200,27300,59300,76000
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Islington,46.8,67.4,20.6,18600,39900,122200,181300
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Kensington and Chelsea,69.4,74.7,5.3,20900,30000,72900,97600
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Kent,70.3,76.9,6.6,200500,285300,700200,910800
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Kingston upon Thames,58.6,69.6,11,22500,38400,89400,128400
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Kirklees,57.1,70.8,13.7,49800,87300,192000,271200
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Knowsley,63.5,70.4,6.9,23600,37200,73600,104500
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Lambeth,60.6,76.9,16.4,34500,56900,185400,240900
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Lancashire,58.5,75,16.5,135900,232100,548900,731800
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Leeds,65.9,77.5,11.7,88400,134200,380800,491100
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Leicester UA,50,60.9,10.9,27200,54300,135500,222300
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Leicestershire,69.2,76.9,7.7,96200,139000,341400,444100
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Lewisham,61.3,76.5,15.2,37600,61400,169100,221000
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Lincolnshire,62.7,76.3,13.6,83800,133800,333400,437200
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Liverpool,38.9,63.5,24.6,35600,91600,190000,299400
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Luton UA,60.8,70.5,9.7,24100,39600,96000,136100
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Manchester,46.5,64,17.4,51700,111200,236000,368900
2016,3,01/07/2016 to 30/09/2016,2016 person level weights,Unitary authority / local area,Medway UA,66.8,76,9.2,34300,51300,129500,170500
